"fixed.acidity";"volatile.acidity";"citric.acidity";"residual.sugar";"chlorides";"free.sulfur.dioxide";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"paises"
7,2;0,58;0,54;2,1;0,114;3;9;0,99719;3,33;0,57;10,3;4;"France"
7,3;0,23;0,37;1,9;0,041;51;165;0,9908;3,26;0,4;12,2;8;"Argentina"
15,9;0,36;0,65;7,5;0,096;22;71;0,9976;2,98;0,84;14,9;5;"Chile"
7,4;0,61;0,01;2;0,074;13;38;0,99748;3,48;0,65;9,8;5;"Chile"
10,3;0,44;0,5;4,5;0,107;5;13;0,998;3,28;0,83;11,5;5;"France"
6,3;0,24;0,22;11,9;0,05;65;179;0,99659;3,06;0,58;9,3;6;"Argentina"
7,1;0,59;0,02;2,3;0,082;24;94;0,99744;3,55;0,53;9,7;6;"Spain"
5,9;0,61;0,08;2,1;0,071;16;24;0,99376;3,56;0,77;11,1;6;"France"
7,9;0,54;0,34;2,5;0,076;8;17;0,99235;3,2;0,72;13,1;8;"Spain"
7,4;0,19;0,31;14,5;0,045;39;193;0,9986;3,1;0,5;9,2;6;"Argentina"
6,9;0,49;0,1;2,3;0,074;12;30;0,9959;3,42;0,58;10,2;6;"Spain"
6,4;0,64;0,21;1,8;0,081;14;31;0,99689;3,59;0,66;9,8;5;"France"
6,6;0,21;0,38;2,2;0,026;40;104;0,9914;3,25;0,4;11,1;8;"Argentina"
7;0,44;0,24;12,1;0,056;68;210;0,99718;3,05;0,5;9,5;5;"Argentina"
8,2;0,7;0,23;2;0,099;14;81;0,9973;3,19;0,7;9,4;5;"France"
11,3;0,37;0,5;1,8;0,09;20;47;0,99734;3,15;0,57;10,5;5;"France"
6,6;0,25;0,3;14,4;0,052;40;183;0,998;3,02;0,5;9,1;6;"Argentina"
7,1;0,66;0;2,4;0,052;6;11;0,99318;3,35;0,66;12,7;7;"Spain"
8,2;0,34;0,37;1,9;0,057;43;74;0,99408;3,23;0,81;12;6;"Chile"
9,2;0,67;0,1;3;0,091;12;48;0,99888;3,31;0,54;9,5;6;"Chile"
6,3;0,57;0,28;2,1;0,048;13;49;0,99374;3,41;0,6;12,8;5;"Spain"
6,8;0,28;0,44;11,5;0,04;58;223;0,9969;3,22;0,56;9,5;5;"Argentina"
8;0,715;0,22;2,3;0,075;13;81;0,99688;3,24;0,54;9,5;6;"Spain"
7,4;0,58;0;2;0,064;7;11;0,99562;3,45;0,58;11,3;6;"Spain"
5,5;0,49;0,03;1,8;0,044;28;87;0,9908;3,5;0,82;14;8;"Chile"
9,9;0,54;0,45;2,3;0,071;16;40;0,9991;3,39;0,62;9,4;5;"Spain"
7,2;0,25;0,28;14,4;0,055;55;205;0,9986;3,12;0,38;9;7;"Argentina"
6;0,2;0,26;6,8;0,049;22;93;0,9928;3,15;0,42;11;6;"Argentina"
7,4;0,21;0,27;7,3;0,031;41;144;0,9932;3,15;0,38;11,8;7;"Argentina"
6,8;0,27;0,3;13;0,047;69;160;0,99705;3,16;0,5;9,6;6;"Argentina"
8,2;0,34;0,38;2,5;0,08;12;57;0,9978;3,3;0,47;9;6;"France"
7,9;0,6;0,06;1,6;0,069;15;59;0,9964;3,3;0,46;9,4;5;"Spain"
9,9;0,53;0,57;2,4;0,093;30;52;0,9971;3,19;0,76;11,6;7;"France"
7,4;0,52;0,13;2,4;0,078;34;61;0,99528;3,43;0,59;10,8;6;"Spain"
7,3;0,73;0,24;1,9;0,108;18;102;0,9967;3,26;0,59;9,3;5;"France"
6,8;0,59;0,06;6;0,06;11;18;0,9962;3,41;0,59;10,8;7;"Chile"
7;0,23;0,4;1,6;0,063;21;67;0,9952;3,5;0,63;11,1;5;"France"
8,5;0,34;0,44;1,7;0,079;6;12;0,99605;3,52;0,63;10,7;5;"France"
7,7;0,27;0,68;3,5;0,358;5;10;0,9972;3,25;1,08;9,9;7;"Chile"
8,3;0,715;0,15;1,8;0,089;10;52;0,9968;3,23;0,77;9,5;5;"Spain"
9,1;0,5;0,3;1,9;0,065;8;17;0,99774;3,32;0,71;10,5;6;"France"
5,2;0,49;0,26;2,3;0,09;23;74;0,9953;3,71;0,62;12,2;6;"Spain"
6,7;0,46;0,24;1,7;0,077;18;34;0,9948;3,39;0,6;10,6;6;"Spain"
7,2;0,34;0,24;2;0,071;30;52;0,99576;3,44;0,58;10,1;5;"France"
9,2;0,58;0,2;3;0,081;15;115;0,998;3,23;0,59;9,5;5;"Chile"
8,1;0,66;0,7;2,2;0,098;25;129;0,9972;3,08;0,53;9;5;"Chile"
7,8;0,6;0,26;2;0,08;31;131;0,99622;3,21;0,52;9,9;5;"France"
7,6;0,5;0,29;2,3;0,086;5;14;0,99502;3,32;0,62;11,5;6;"France"
7,4;0,2;0,28;9,1;0,047;29;95;0,99532;3,16;0,47;9,8;7;"Argentina"
9,1;0,66;0,15;3,2;0,097;9;59;0,99976;3,28;0,54;9,6;5;"Chile"
11,2;0,66;0,24;2,5;0,085;16;53;0,9993;3,06;0,72;11;6;"Chile"
7,5;0,18;0,31;11,7;0,051;24;94;0,997;3,19;0,44;9,5;7;"Argentina"
9,1;0,5;0,3;1,9;0,065;8;17;0,99774;3,32;0,71;10,5;6;"Spain"
7,5;0,61;0,26;1,9;0,073;24;88;0,99612;3,3;0,53;9,8;5;"Chile"
10,2;0,34;0,48;2,1;0,052;5;9;0,99458;3,2;0,69;12,1;7;"Chile"
7,4;0,37;0,43;2,6;0,082;18;82;0,99708;3,33;0,68;9,7;6;"Spain"
10,2;0,49;0,63;2,9;0,072;10;26;0,9968;3,16;0,78;12,5;7;"France"
6,2;0,45;0,2;1,6;0,069;3;15;0,9958;3,41;0,56;9,2;5;"France"
13,2;0,46;0,52;2,2;0,071;12;35;1,0006;3,1;0,56;9;6;"Spain"
7;0,32;0,29;7,6;0,025;35;124;0,99162;3,15;0,65;12,8;7;"Argentina"
6,45;0,14;0,42;1,2;0,05;51;129;0,99116;3,27;0,69;11,1;7;"Argentina"
6,7;0,855;0,02;1,9;0,064;29;38;0,99472;3,3;0,56;10,75;6;"France"
8,4;0,2;0,38;11,8;0,055;51;170;1,0004;3,34;0,82;8,9;6;"Argentina"
8,5;0,18;0,51;1,75;0,071;45;88;0,99524;3,33;0,76;11,8;7;"Spain"
7,7;0,965;0,1;2,1;0,112;11;22;0,9963;3,26;0,5;9,5;5;"Spain"
7,1;0,35;0,29;2,5;0,096;20;53;0,9962;3,42;0,65;11;6;"Spain"
7,5;0,19;0,49;1,6;0,047;42;140;0,9932;3,4;0,47;10,7;6;"Argentina"
7,8;0,57;0,31;1,8;0,069;26;120;0,99625;3,29;0,53;9,3;5;"France"
7;0,655;0,16;2,1;0,074;8;25;0,99606;3,37;0,55;9,7;5;"Spain"
8,2;0,64;0,27;2;0,095;5;77;0,99747;3,13;0,62;9,1;6;"Chile"
7,5;0,49;0,2;2,6;0,332;8;14;0,9968;3,21;0,9;10,5;6;"Spain"
11,5;0,42;0,48;2,6;0,077;8;20;0,99852;3,09;0,53;11;5;"Chile"
8;0,52;0,03;1,7;0,07;10;35;0,99575;3,34;0,57;10;5;"France"
7,6;0,34;0,39;7,6;0,04;45;215;0,9965;3,11;0,53;9,2;6;"Argentina"
8,6;0,47;0,27;2,3;0,055;14;28;0,99516;3,18;0,8;11,2;5;"Chile"
9,3;0,43;0,44;1,9;0,085;9;22;0,99708;3,28;0,55;9,5;5;"France"
8,2;0,57;0,26;2,2;0,06;28;65;0,9959;3,3;0,43;10,1;5;"Spain"
7,4;0,29;0,5;1,8;0,042;35;127;0,9937;3,45;0,5;10,2;7;"Argentina"
5,9;0,24;0,3;2;0,033;28;92;0,99225;3,39;0,69;10,9;7;"Argentina"
6,2;0,58;0;1,6;0,065;8;18;0,9966;3,56;0,84;9,4;5;"Chile"
6,9;0,685;0;2,5;0,105;22;37;0,9966;3,46;0,57;10,6;6;"Spain"
5,9;0,29;0,25;13,4;0,067;72;160;0,99721;3,33;0,54;10,3;6;"Spain"
6,5;0,28;0,34;3,6;0,04;29;121;0,99111;3,28;0,48;12,1;7;"Argentina"
6,9;0,54;0,04;3;0,077;7;27;0,9987;3,69;0,91;9,4;6;"Chile"
7,1;0,75;0,01;2,2;0,059;11;18;0,99242;3,39;0,4;12,8;6;"France"
7,4;0,33;0,26;2,6;0,04;29;115;0,9913;3,07;0,52;11,8;7;"Argentina"
9,9;0,25;0,46;1,7;0,062;26;42;0,9959;3,18;0,83;10,6;6;"Spain"
6,8;0,48;0,25;2;0,076;29;61;0,9953;3,34;0,6;10,4;5;"Chile"
6,8;0,6;0,18;1,9;0,079;18;86;0,9968;3,59;0,57;9,3;6;"Chile"
8,6;0,37;0,65;6,4;0,08;3;8;0,99817;3,27;0,58;11;5;"Chile"
7,8;0,43;0,7;1,9;0,464;22;67;0,9974;3,13;1,28;9,4;5;"Spain"
7,5;0,725;0,04;1,5;0,076;8;15;0,99508;3,26;0,53;9,6;5;"Chile"
7,1;0,72;0;1,8;0,123;6;14;0,99627;3,45;0,58;9,8;5;"Chile"
7,6;0,4;0,29;1,9;0,078;29;66;0,9971;3,45;0,59;9,5;6;"Chile"
6,6;0,19;0,99;1,2;0,122;45;129;0,9936;3,09;0,31;8,7;6;"Argentina"
7,8;0,43;0,32;2,8;0,08;29;58;0,9974;3,31;0,64;10,3;5;"Chile"
7,6;0,14;0,74;1,6;0,04;27;103;0,9916;3,07;0,4;10,8;7;"Argentina"
7,8;0,27;0,58;11,2;0,036;44;161;0,9977;3,06;0,41;8,9;6;"Argentina"
5,9;0,395;0,13;2,4;0,056;14;28;0,99362;3,62;0,67;12,4;6;"Spain"
6,1;0,32;0,25;1,8;0,086;5;32;0,99464;3,36;0,44;10,1;5;"Chile"
7,9;0,69;0,21;2,1;0,08;33;141;0,9962;3,25;0,51;9,9;5;"France"
7,6;0,43;0,31;2,1;0,069;13;74;0,9958;3,26;0,54;9,9;6;"Chile"
7,2;0,61;0,08;4;0,082;26;108;0,99641;3,25;0,51;9,4;5;"Spain"
6,4;0,18;0,48;18;0,054;56;183;1,00038;2,98;0,61;8,5;6;"Argentina"
9,6;0,6;0,5;2,3;0,079;28;71;0,9997;3,5;0,57;9,7;5;"France"
9;0,8;0,12;2,4;0,083;8;28;0,99836;3,33;0,65;10,4;6;"Chile"
7,7;0,57;0,21;1,5;0,069;4;9;0,99458;3,16;0,54;9,8;6;"France"
9,7;0,295;0,4;1,5;0,073;14;21;0,99556;3,14;0,51;10,9;6;"Spain"
5,6;0,5;0,09;2,3;0,049;17;99;0,9937;3,63;0,63;13;5;"Spain"
7,7;0,39;0,3;5,2;0,037;29;131;0,9943;3,38;0,44;11;6;"Argentina"
15,5;0,645;0,49;4,2;0,095;10;23;1,00315;2,92;0,74;11,1;5;"Chile"
8,3;0,34;0,4;2,4;0,065;24;48;0,99554;3,34;0,86;11;6;"Chile"
6,6;0,695;0;2,1;0,075;12;56;0,9968;3,49;0,67;9,2;5;"France"
6,2;0,36;0,24;2,2;0,095;19;42;0,9946;3,57;0,57;11,7;6;"France"
6,7;0,31;0,31;4,9;0,031;20;151;0,9926;3,36;0,82;12;7;"Argentina"
7,8;0,56;0,19;1,8;0,104;12;47;0,9964;3,19;0,93;9,5;5;"France"
7,5;0,6;0,03;1,8;0,095;25;99;0,995;3,35;0,54;10,1;5;"Chile"
7;0,735;0,05;2;0,081;13;54;0,9966;3,39;0,57;9,8;5;"France"
7,2;0,33;0,22;4,5;0,031;10;73;0,99076;2,97;0,52;12,2;7;"Argentina"
12;0,28;0,49;1,9;0,074;10;21;0,9976;2,98;0,66;9,9;7;"Spain"
8;0,725;0,24;2,8;0,083;10;62;0,99685;3,35;0,56;10;6;"Chile"
8;0,18;0,37;0,9;0,049;36;109;0,99007;2,89;0,44;12,7;6;"Chile"
7;0,65;0,02;2,1;0,066;8;25;0,9972;3,47;0,67;9,5;6;"Chile"
6,9;0,28;0,37;9,1;0,037;16;76;0,9948;3,05;0,54;11,1;5;"Argentina"
7,1;0,47;0;2,2;0,067;7;14;0,99517;3,4;0,58;10,9;4;"Chile"
11,6;0,41;0,58;2,8;0,096;25;101;1,00024;3,13;0,53;10;5;"Spain"
12;0,37;0,76;4,2;0,066;7;38;1,0004;3,22;0,6;13;7;"Chile"
6,3;0,24;0,35;2,3;0,039;43;109;0,99056;3,34;0,44;11,8;6;"Argentina"
6,1;0,32;0,25;2,3;0,071;23;58;0,99633;3,42;0,97;10,6;5;"Spain"
9,1;0,785;0;2,6;0,093;11;28;0,9994;3,36;0,86;9,4;6;"Spain"
8,3;0,22;0,38;14,8;0,054;32;126;1,0002;3,22;0,5;9,7;5;"Argentina"
6,3;0,23;0,33;6,9;0,052;23;118;0,9938;3,23;0,46;10,4;6;"Argentina"
6,8;0,49;0,22;2,3;0,071;13;24;0,99438;3,41;0,83;11,3;6;"Chile"
6,4;0,36;0,53;2,2;0,23;19;35;0,9934;3,37;0,93;12,4;6;"France"
10,6;1,025;0,43;2,8;0,08;21;84;0,9985;3,06;0,57;10,1;5;"Chile"
7;0,24;0,36;2,8;0,034;22;112;0,99;3,19;0,38;12,6;8;"Argentina"
6;0,5;0,04;2,2;0,092;13;26;0,99647;3,46;0,47;10;5;"France"
6,5;0,41;0,24;14;0,048;24;113;0,9982;3,44;0,53;9,8;6;"Argentina"
7,1;0,44;0,37;2,7;0,041;35;128;0,9896;3,07;0,43;13,5;7;"Argentina"
7,7;0,57;0,21;1,5;0,069;4;9;0,99458;3,16;0,54;9,8;6;"Chile"
7,7;0,715;0,01;2,1;0,064;31;43;0,99371;3,41;0,57;11,8;6;"Spain"
8,9;0,4;0,51;2,6;0,052;13;27;0,995;3,32;0,9;13,4;7;"France"
7;0,685;0;1,9;0,099;9;22;0,99606;3,34;0,6;9,7;5;"France"
6,6;0,58;0;2,2;0,1;50;63;0,99544;3,59;0,68;11,4;6;"France"
8,7;0,33;0,38;3,3;0,063;10;19;0,99468;3,3;0,73;12;7;"France"
7,4;0,55;0,22;2,2;0,106;12;72;0,9959;3,05;0,63;9,2;5;"Chile"
6,6;0,58;0,02;2,4;0,069;19;40;0,99387;3,38;0,66;12,6;6;"France"
9,7;0,69;0,32;2,5;0,088;22;91;0,9979;3,29;0,62;10,1;5;"Chile"
7,2;0,31;0,5;13,3;0,056;68;195;0,9982;3,01;0,47;9,2;5;"Argentina"
10;0,29;0,4;2,9;0,098;10;26;1,0006;3,48;0,91;9,7;5;"Spain"
8,2;0,21;0,48;1,4;0,041;11;99;0,9958;3,17;0,57;9,9;5;"Argentina"
5,2;0,48;0,04;1,6;0,054;19;106;0,9927;3,54;0,62;12,2;7;"Chile"
6,6;0,725;0,09;5,5;0,117;9;17;0,99655;3,35;0,49;10,8;6;"France"
8,8;0,55;0,04;2,2;0,119;14;56;0,9962;3,21;0,6;10,9;6;"France"
9,2;0,14;0,37;1,1;0,034;36;84;0,99136;3,05;0,55;11,6;6;"Argentina"
6,9;0,615;0,42;12;0,067;24;131;0,99727;3,19;0,34;9,3;5;"Argentina"
7,7;0,56;0,2;2;0,075;9;39;0,9987;3,48;0,62;9,3;5;"Chile"
11,9;0,57;0,5;2,6;0,082;6;32;1,0006;3,12;0,78;10,7;6;"Spain"
6,5;0,61;0;2,2;0,095;48;59;0,99541;3,61;0,7;11,5;6;"Spain"
7,8;0,53;0,01;1,6;0,077;3;19;0,995;3,16;0,46;9,8;5;"Spain"
8,7;0,52;0,09;2,5;0,091;20;49;0,9976;3,34;0,86;10,6;7;"Spain"
8,8;0,6;0,29;2,2;0,098;5;15;0,9988;3,36;0,49;9,1;5;"Chile"
7;0,57;0;2;0,19;12;45;0,99676;3,31;0,6;9,4;6;"Chile"
6,5;0,34;0,46;1;0,023;6;80;0,98865;3,15;0,54;12,9;6;"Argentina"
6,4;0,31;0,38;2,9;0,038;19;102;0,9912;3,17;0,35;11;7;"Argentina"
5,6;0,26;0,18;1,4;0,034;18;135;0,99174;3,32;0,35;10,2;6;"Argentina"
11,9;0,58;0,58;1,9;0,071;5;18;0,998;3,09;0,63;10;6;"France"
