"fixed.acidity","volatile.acidity","citric.acidity","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","country"
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6,"Germany"
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,"Argentina"
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,"Germany"
6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,"Australia"
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,"Germany"
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5,"Australia"
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,"Australia"
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,"Germany"
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,"Australia"
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,"Argentina"
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,"Chile"
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,"Germany"
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,"Chile"
6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7,"Australia"
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,"Argentina"
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,"Germany"
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,"Australia"
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,"Australia"
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,"Australia"
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,"Australia"
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,"Argentina"
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,"Chile"
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,"Chile"
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"Chile"
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,"Germany"
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,"Germany"
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6,"Argentina"
5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7,"Argentina"
8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,5,"Argentina"
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,"Chile"
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,"Germany"
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,"Germany"
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5,"Australia"
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,"Australia"
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,"Argentina"
7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6,"Argentina"
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,"Chile"
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6,"Australia"
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,"Germany"
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,"Chile"
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5,"Germany"
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,"Germany"
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7,"Germany"
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,"Germany"
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,"Australia"
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,"Chile"
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6,"Chile"
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,"Germany"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"Australia"
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,"Germany"
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"Germany"
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,"Australia"
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6,"Australia"
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5,"Australia"
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,"Australia"
5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6,"Australia"
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6,"Germany"
6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5,"Argentina"
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,"Chile"
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,"Germany"
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,"Chile"
7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7,"Argentina"
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5,"Germany"
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"Germany"
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,"Germany"
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,"Chile"
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,"Argentina"
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"Chile"
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,"Chile"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"Argentina"
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,"Germany"
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,"Germany"
7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5,"Argentina"
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6,"Argentina"
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,"Australia"
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,"Australia"
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,"Australia"
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,"Argentina"
7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5,"Australia"
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,"Chile"
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,"Chile"
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,"Chile"
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7,"Australia"
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,"Argentina"
6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7,"Australia"
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,"Germany"
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,"Chile"
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,"Chile"
7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,"Germany"
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,"Germany"
6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6,"Australia"
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5,"Australia"
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.73333333333333,5,"Argentina"
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,"Germany"
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5,"Australia"
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,"Argentina"
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,"Argentina"
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,5,"Australia"
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,"Chile"
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,"Australia"
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,"Australia"
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,"Germany"
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,"Germany"
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,"Argentina"
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4,"Argentina"
6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,"Argentina"
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,"Australia"
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5,"Argentina"
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,"Argentina"
6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5,"Australia"
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,"Argentina"
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,"Chile"
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,"Germany"
6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6,"Argentina"
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,"Germany"
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,"Australia"
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,"Chile"
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,"Australia"
7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6,"Argentina"
8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6,"Australia"
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6,"Germany"
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,"Argentina"
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"Germany"
7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6,"Australia"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"Australia"
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6,"Australia"
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,6,"Chile"
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,"Chile"
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,"Germany"
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,"Chile"
9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6,"Chile"
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,"Chile"
7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,"Chile"
6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5,"Argentina"
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,"Australia"
